AccountName,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Industry
Account_1,Street 1,City 1,CA,86357,USA,555-771-2571,Technology
Account_2,Street 2,City 2,CA,67772,USA,555-045-9848,Technology
Account_3,Street 3,City 3,CA,61372,USA,555-834-6221,Finance
Account_4,Street 4,City 4,CA,46899,USA,555-883-4440,Technology
Account_5,Street 5,City 5,CA,77697,USA,555-119-0344,Healthcare
Account_6,Street 6,City 6,CA,33383,USA,555-077-5816,Healthcare
Account_7,Street 7,City 7,CA,29223,USA,555-224-1498,Finance
Account_8,Street 8,City 8,CA,56859,USA,555-489-2786,Manufacturing
Account_9,Street 9,City 9,CA,45069,USA,555-020-4937,Healthcare
Account_10,Street 10,City 10,CA,36374,USA,555-930-0999,Technology
Account_11,Street 11,City 11,CA,79366,USA,555-210-7368,Healthcare
Account_12,Street 12,City 12,CA,15386,USA,555-332-7929,Manufacturing
Account_13,Street 13,City 13,CA,87801,USA,555-364-9641,Technology
Account_14,Street 14,City 14,CA,53334,USA,555-482-2321,Healthcare
Account_15,Street 15,City 15,CA,44946,USA,555-403-0295,Manufacturing
Account_16,Street 16,City 16,CA,91144,USA,555-656-7034,Technology
Account_17,Street 17,City 17,CA,85025,USA,555-292-9922,Technology
Account_18,Street 18,City 18,CA,59355,USA,555-373-3586,Manufacturing
Account_19,Street 19,City 19,CA,13659,USA,555-503-4301,Healthcare
Account_20,Street 20,City 20,CA,21673,USA,555-976-4744,Technology
Account_21,Street 21,City 21,CA,85236,USA,555-089-4453,Manufacturing
Account_22,Street 22,City 22,CA,32364,USA,555-529-4871,Manufacturing
Account_23,Street 23,City 23,CA,46675,USA,555-621-9823,Healthcare
Account_24,Street 24,City 24,CA,47849,USA,555-331-5003,Finance
Account_25,Street 25,City 25,CA,62458,USA,555-795-4473,Technology
Account_26,Street 26,City 26,CA,93550,USA,555-982-4847,Finance
Account_27,Street 27,City 27,CA,47425,USA,555-097-7924,Manufacturing
Account_28,Street 28,City 28,CA,48817,USA,555-036-8258,Manufacturing
Account_29,Street 29,City 29,CA,35484,USA,555-664-7157,Manufacturing
Account_30,Street 30,City 30,CA,72035,USA,555-019-4412,Manufacturing
Account_31,Street 31,City 31,CA,38572,USA,555-575-0571,Technology
Account_32,Street 32,City 32,CA,13672,USA,555-613-6175,Healthcare
Account_33,Street 33,City 33,CA,95374,USA,555-558-0106,Healthcare
Account_34,Street 34,City 34,CA,67958,USA,555-973-0619,Technology
Account_35,Street 35,City 35,CA,62255,USA,555-609-8178,Technology
Account_36,Street 36,City 36,CA,60397,USA,555-012-8278,Healthcare
Account_37,Street 37,City 37,CA,83132,USA,555-452-1600,Finance
Account_38,Street 38,City 38,CA,14981,USA,555-248-0002,Healthcare
Account_39,Street 39,City 39,CA,65803,USA,555-430-2654,Healthcare
Account_40,Street 40,City 40,CA,63862,USA,555-696-7129,Technology
Account_41,Street 41,City 41,CA,46214,USA,555-853-5368,Technology
Account_42,Street 42,City 42,CA,64690,USA,555-332-7609,Healthcare
Account_43,Street 43,City 43,CA,45682,USA,555-052-4811,Technology
Account_44,Street 44,City 44,CA,31895,USA,555-455-1809,Finance
Account_45,Street 45,City 45,CA,72801,USA,555-347-3129,Finance
Account_46,Street 46,City 46,CA,54822,USA,555-711-4259,Technology
Account_47,Street 47,City 47,CA,78471,USA,555-834-7083,Healthcare
Account_48,Street 48,City 48,CA,30341,USA,555-299-2186,Manufacturing
Account_49,Street 49,City 49,CA,81438,USA,555-588-0644,Manufacturing
Account_50,Street 50,City 50,CA,34268,USA,555-462-7439,Finance
Account_51,Street 51,City 51,CA,94062,USA,555-049-5757,Finance
Account_52,Street 52,City 52,CA,43396,USA,555-529-2506,Healthcare
Account_53,Street 53,City 53,CA,85095,USA,555-126-4631,Finance
Account_54,Street 54,City 54,CA,44532,USA,555-238-0061,Healthcare
Account_55,Street 55,City 55,CA,46597,USA,555-503-7512,Technology
Account_56,Street 56,City 56,CA,73014,USA,555-819-7844,Technology
Account_57,Street 57,City 57,CA,15249,USA,555-582-4327,Technology
Account_58,Street 58,City 58,CA,37075,USA,555-972-6777,Finance
Account_59,Street 59,City 59,CA,55241,USA,555-971-6124,Healthcare
Account_60,Street 60,City 60,CA,58958,USA,555-605-0682,Finance
Account_61,Street 61,City 61,CA,89796,USA,555-022-4367,Manufacturing
Account_62,Street 62,City 62,CA,35000,USA,555-555-5020,Healthcare
Account_63,Street 63,City 63,CA,50854,USA,555-383-0038,Manufacturing
Account_64,Street 64,City 64,CA,28822,USA,555-297-4297,Finance
Account_65,Street 65,City 65,CA,86751,USA,555-587-9986,Technology
Account_66,Street 66,City 66,CA,94780,USA,555-796-2335,Healthcare
Account_67,Street 67,City 67,CA,95143,USA,555-466-0544,Healthcare
Account_68,Street 68,City 68,CA,63008,USA,555-564-7391,Technology
Account_69,Street 69,City 69,CA,34096,USA,555-376-3013,Technology
Account_70,Street 70,City 70,CA,48634,USA,555-488-8415,Healthcare
Account_71,Street 71,City 71,CA,39951,USA,555-899-2768,Healthcare
Account_72,Street 72,City 72,CA,22010,USA,555-824-1820,Technology
Account_73,Street 73,City 73,CA,71125,USA,555-551-9091,Technology
Account_74,Street 74,City 74,CA,58181,USA,555-807-8290,Finance
Account_75,Street 75,City 75,CA,21633,USA,555-757-4352,Technology
Account_76,Street 76,City 76,CA,41236,USA,555-950-3753,Technology
Account_77,Street 77,City 77,CA,23084,USA,555-905-3850,Healthcare
Account_78,Street 78,City 78,CA,43159,USA,555-538-6705,Healthcare
Account_79,Street 79,City 79,CA,21964,USA,555-304-4904,Healthcare
Account_80,Street 80,City 80,CA,65640,USA,555-872-3347,Healthcare
Account_81,Street 81,City 81,CA,35474,USA,555-222-3120,Manufacturing
Account_82,Street 82,City 82,CA,54449,USA,555-389-9938,Finance
Account_83,Street 83,City 83,CA,40774,USA,555-572-1523,Technology
Account_84,Street 84,City 84,CA,66613,USA,555-651-2347,Healthcare
Account_85,Street 85,City 85,CA,19441,USA,555-990-3693,Finance
Account_86,Street 86,City 86,CA,23988,USA,555-179-6369,Finance
Account_87,Street 87,City 87,CA,87302,USA,555-400-4231,Manufacturing
Account_88,Street 88,City 88,CA,84852,USA,555-638-0842,Technology
Account_89,Street 89,City 89,CA,54225,USA,555-541-5860,Manufacturing
Account_90,Street 90,City 90,CA,82356,USA,555-817-1362,Finance
Account_91,Street 91,City 91,CA,67776,USA,555-094-4330,Finance
Account_92,Street 92,City 92,CA,29707,USA,555-126-3965,Manufacturing
Account_93,Street 93,City 93,CA,31479,USA,555-854-9660,Technology
Account_94,Street 94,City 94,CA,35289,USA,555-492-0524,Technology
Account_95,Street 95,City 95,CA,13552,USA,555-499-2308,Healthcare
Account_96,Street 96,City 96,CA,74419,USA,555-441-4042,Healthcare
Account_97,Street 97,City 97,CA,81977,USA,555-802-7618,Manufacturing
Account_98,Street 98,City 98,CA,59344,USA,555-662-5512,Technology
Account_99,Street 99,City 99,CA,38611,USA,555-125-5943,Manufacturing
Account_100,Street 100,City 100,CA,88064,USA,555-791-5951,Healthcare
Account_101,Street 101,City 101,CA,72619,USA,555-132-3369,Manufacturing
Account_102,Street 102,City 102,CA,37324,USA,555-373-0558,Finance
Account_103,Street 103,City 103,CA,96590,USA,555-866-5118,Manufacturing
Account_104,Street 104,City 104,CA,82701,USA,555-594-3512,Technology
Account_105,Street 105,City 105,CA,35210,USA,555-559-2415,Manufacturing
Account_106,Street 106,City 106,CA,78224,USA,555-098-6524,Finance
