OpportunityName,AccountName,StageName,CloseDate,Amount
Opportunity_1,Account_1,Negotiation/Review,2026-08-23,63231
Opportunity_2,Account_2,Closed Won,2026-01-11,44314
Opportunity_3,Account_3,Proposal/Price Quote,2026-02-26,33859
Opportunity_4,Account_4,Proposal/Price Quote,2026-01-30,42286
Opportunity_5,Account_5,Closed Won,2026-07-16,42844
Opportunity_6,Account_6,Closed Lost,2026-07-10,4481
Opportunity_7,Account_7,Negotiation/Review,2026-10-08,11752
Opportunity_8,Account_8,Proposal/Price Quote,2026-03-18,1084
Opportunity_9,Account_9,Closed Won,2026-09-22,87915
Opportunity_10,Account_10,Closed Lost,2026-10-05,70655
Opportunity_11,Account_11,Closed Won,2026-10-14,60381
Opportunity_12,Account_12,Proposal/Price Quote,2026-04-16,93839
Opportunity_13,Account_13,Closed Won,2025-12-12,78816
Opportunity_14,Account_14,Closed Lost,2026-06-27,20582
Opportunity_15,Account_15,Proposal/Price Quote,2026-04-26,13144
Opportunity_16,Account_16,Closed Lost,2026-08-18,16802
Opportunity_17,Account_17,Closed Won,2026-11-04,73129
Opportunity_18,Account_18,Negotiation/Review,2026-02-05,31721
Opportunity_19,Account_19,Proposal/Price Quote,2026-07-20,68185
Opportunity_20,Account_20,Closed Won,2026-08-22,71164
Opportunity_21,Account_21,Closed Won,2026-05-15,99108
Opportunity_22,Account_22,Qualification,2026-02-14,78025
Opportunity_23,Account_23,Negotiation/Review,2026-01-21,52822
Opportunity_24,Account_24,Qualification,2026-04-15,79426
Opportunity_25,Account_25,Proposal/Price Quote,2026-04-07,73224
Opportunity_26,Account_26,Closed Won,2026-11-06,13637
Opportunity_27,Account_27,Closed Won,2026-10-31,57054
Opportunity_28,Account_28,Qualification,2026-06-12,35251
Opportunity_29,Account_29,Proposal/Price Quote,2026-02-28,87406
Opportunity_30,Account_30,Proposal/Price Quote,2026-08-29,12325
Opportunity_31,Account_31,Qualification,2025-12-11,1730
Opportunity_32,Account_32,Negotiation/Review,2026-09-13,23312
Opportunity_33,Account_33,Closed Lost,2026-03-09,35727
Opportunity_34,Account_34,Negotiation/Review,2026-11-15,92191
Opportunity_35,Account_35,Closed Won,2026-04-16,56431
Opportunity_36,Account_36,Closed Lost,2026-03-21,44119
Opportunity_37,Account_37,Proposal/Price Quote,2026-10-22,40386
Opportunity_38,Account_38,Closed Lost,2026-02-06,85285
Opportunity_39,Account_39,Negotiation/Review,2026-08-07,48493
Opportunity_40,Account_40,Closed Won,2026-06-07,43940
Opportunity_41,Account_41,Closed Won,2026-07-30,70479
Opportunity_42,Account_42,Closed Lost,2026-03-08,31720
Opportunity_43,Account_43,Closed Won,2026-08-24,79691
Opportunity_44,Account_44,Proposal/Price Quote,2026-05-20,68632
Opportunity_45,Account_45,Closed Won,2026-02-12,57242
Opportunity_46,Account_46,Closed Lost,2026-11-20,25419
Opportunity_47,Account_47,Closed Lost,2026-10-28,35144
Opportunity_48,Account_48,Closed Won,2026-01-30,12344
Opportunity_49,Account_49,Qualification,2026-09-23,64658
